indicacion,detalle,ejemplo,votacion,imagen,categoria
No hay ninguna razón para ver la segunda temporada de 13 reasons why. ,"<p> No hay justicia para Hannah Baker ni para los seguidores de una de las series más polémicas de Netflix. Escribo estas líneas apurado porque siento que las reminiscencias de la segunda temporada de 13 reasons se escapan de mi memoria. Pero con justa razón porque después de todo, vi la serie rápidamente para poder olvidarme de ella lo antes posible.

La segunda temporada de una de las creaciones más polémicas de Netflix se centra en el juicio que gira en torno la muerte de Hannah Baker a través de los testimonios de todos los involucrados; y sí, son 13 capítulos completamente innecesarios que además dejan abierta, abiertísima la posibilidad de una tercera temporada.

Muchos de los rumores que aparecieron durante la producción de este nuevo ciclo se cumplieron: efectivamente, sí existía un tipo de tecnología análoga que reemplazó el rol de los casetes en la temporada anterior, Hannah Baker también volvió en forma de flashbacks y reflexiones realizadas por los demás protagonistas.

Quienes vimos la primera temporada podemos discutir si 13 reasons intenta de forma efectiva abrir una conversación en torno al suicidio adolescente o si lo embellece o le da una cierta épica de forma peligrosa. Pero en esta nueva temporada no hay discusión alguna. Los personajes son guiados a través de un camino de redención forzado para acabar con la culpa que les produjo el suicidio de su compañera de clases a cinco meses de ocurridos los hechos. La serie pudo funcionar como una película otorgándole un final digno, pero en lugar de ello se estira tanto que cansa y desvía en demasía los puntos que intenta plantear.

Otra diferencia importante de esta temporada es que su creador Jay Asher, no tuvo participación alguna dentro de la misma. De hecho, fue relegado luego de sus críticas hacia la primera temporada y las libertades creativas que Netflix se tomó para llevar a cabo la historia basada en el libro de su autoría.

Esto llevó a un declive de la calidad argumentativa y los diálogos que fluctúan entre los integrantes de la serie, que también cumplen con actuaciones que dejan bastante que desear a diferencia de la primera temporada. ","Lo últimos tres capítulos -que son realmente los que vale la pena mirar- intentan resumir la intención de la temporada para sumarse en contra de la misoginia, pero no lo consigue: simplemente 13 reasons intenta demasiado, pero no detiene su clara degradación hacia otro drama adolescente con tintes criminalísticos como Riverdale.

13 reasons why se perfiló como la producción que defendió su cruzada en contra del suicidio juvenil pero esa es una hipocresía. Hannah Baker encuentra paz luego de que los temas pendientes que dejó en vida se resolviesen por diferentes factores, pero esto no aplica en la vida real.

Lo único realista de estos nuevos e insatisfactorios 13 capítulos, son las bajas penas que afrontan los responsables de violación en Estados Unidos sometidos a la justicia luego de ser acusados.

Finalmente, podemos decir que nos enfrentamos a una serie que intentó poner sobre la mesa temas delicados e importantes como el suicidio, pero que fue víctima de una sobre explotación de su propio argumento desgastando sus propósitos iniciales. No hay emotividad en el término de la historia de Hannah Baker, pero tal como Clay Jensen pudo despedirse de ella, es momento de que hagamos lo mismo con 13 reasons why. </p>",5,,Series y Cine
Lee esto si quieres recuperar tu apetito sexual.,"<p> Hablamos con una experta que aporta unos sanos consejos para que aproveches este fin de semana largo como la mejor excusa para recuperar tus ganas de experimentar lo que se te plazca en la cama. El #ViernesHeavy

Un amigo, extrañado por la situación en la que se encontraba, me contó sobre su falta de apetito sexual en un viaje que realizó a Nueva York hace dos años.

Claramente no es por falta de estímulos: después de todo, hablamos de una ciudad que ha sido escenario de grandes momentos en la historia sexual contemporánea y donde Tinder y Grindr explotan. Pero nada, no le pasaba nada.

Me puse mi peluca con rizos y cual Carrie Bradshaw, investigué sobre las causas que pudieron provocar la baja en su libido topándome en el camino con diversas soluciones para sobrellevar la situación de la mejor forma posible. ","Además, es importante decir que la situación de parejas que se aburren de su propia monogamia es frecuente. Parece una ley notarial el hecho de dejar de tener relaciones sexuales luego del transcurso de unos años (pero no tiene por qué ser así)

“El deseo sexual depende de muchos factores. Puede bajar por enfermedades, como efecto secundario de medicamentos, por estrés, en contextos de depresión, debido a problemas en la relación de pareja, entre otras cosas” nos cuenta la sexóloga Magdalena Rivera.

Sin embargo, estudios sugieren que la causa de la mayoría de los casos se debe a la baja de testosterona contrario a la creencia que pone al factor psicológico como principal motivo de la pérdida del deseo sexual.
La falta de testosterona -también llamada hipogonadismo– es algo completamente normal y puede ser solucionada mediante tratamientos con suplementos hormonales en forma de pastillas, parches e incluso geles (arreglando de paso el problemilla del sexo)

“Otro de los factores pueden ser estar pasando por un periodo de estrés laboral o un duelo. Además, al inicio de una relación de pareja el deseo sexual suele ser muy alto y al estabilizarse la pareja baja y eso es normal” agrega Rivera.

Pero ¿Qué pasa con los solteros?

“Las energía pueden estar puestas en otros temas. Con el ritmo de vida actual en Chile está muy normalizado un nivel alto de estrés y actividades” agrega.

Dentro de los medicamentos de uso común que pueden bajar el deseo están los antidepresivos y los anticonceptivo hormonales. También es parte de la variación normal que alguien pueda pasar períodos de su vida de más o menos deseo.

Sin embargo, existen diferentes estrategias que pueden ayudarte a recuperar tu libido sin necesidad de consumir pastillas u algún tipo de fármaco. < a href=""https://pousta.com/deseo-sexual-consejos/""> Aquí te las presentamos. </a>",5,,Sexualidad
Facebook quiere ser el nuevo Tinder y eso no tiene ningún sentido,"<p> Facebook quiere que encuentres el amor. Y quiere que lo encuentres en Facebook, claro. Tras el escándalo de Cambridge Analytica, por el cual Mark Zuckerberg tuvo que comparecer en el Congreso de Estados Unidos y comparecerá próximamente ante el Parlamento Europeo, la compañía ha anunciado que está trabajando en Facebook Dating, una plataforma integrada en la red social y diseñada para que sus usuarios encuentren no solo el amor sino el amor verdadero.

""Esto va a ser para construir relaciones reales a largo plazo, no solo aventuras"", declaró Zuckerberg en la conferencia anual de desarrolladores de la empresa. No explicó el modus operandi, no expuso cómo conseguirá que no sea una red solo para ""aventuras"", pero sí que habló, como no podía ser de otra manera, sobre la privacidad. Sobre las medidas que está preparando y tomando Facebook a raíz de la polémica de la filtración de datos, como la aplicación del nuevo reglamento general de protección de datos (RGPD) a los europeos. ","Pero volvamos al amor verdadero. Dejemos para otro momento la reflexión sobre la pertinencia y los riesgos de que Facebook tenga también información sobre la manera en la que tiramos fichas —información que, por otra parte, seguramente tiene desde hace tiempo porque todos hemos usado Facebook Messenger para ligar—. El caso es que Zuckerberg se ha dado cuenta de que lleva 14 años connecting people, como Nokia, pero no había caído en hacerlo con fines románticos.

No es que haya visto que otras mentes despiertas —los creadores de Tinder, Grindr, Lovoo, Meetic— llevan años sacado tajada del amor y el sexo y sobre todo de nuestra incapacidad para buscarlo en el mundo real. No es que la casa sea experta en ""inspirarse"" en otras aplicaciones para crear e implementar sus nuevas funciones, qué va. Es, simplemente, que Mark quiere que confíes en él y en Facebook no solo para meter el pizarrín, para cumplir con el mandato de Dios, para jugar al teto, sino para encontrar a tu contrario/a, que diría Quequé en La Vida Moderna. A la persona que te acompañará de por vida. La novedad que presenta Facebook Dating respecto a otras aplicaciones e instrumentos digitales para ligar es que no podrás llevarte el susto de encontrarte a tus colegas, exnovios o a familiares. La aplicación no mostrará el perfil público de quien la use a amigos en la red social. El chat será privado y no estará conectado con Facebook Messenger. Hasta ahí todo bien. Todo fenomenal. Esta característica ahorrará más de un disgusto, de hecho.

Sin embargo, ¿qué sentido tiene Facebook Dating en 2018? A los jóvenes ya no les interesa Facebook. El número de usuarios entre los 12 y los 25 años es cada vez menor, lo que genera que la red social más usada del mundo sea también la más percibida como anticuada por los jóvenes. ¿Es esta nueva función un —otro— intento por rejuvenecer su imagen? Puede. ¿Corre el peligro Facebook Dating de convertirse en el programa de emparejar jubilados que conduce Juan y Medio en Canal Sur en versión online? También puede.

En la presentación de esta nueva funcionalidad, Zuckerberg aludió a los ""200 millones de personas en Facebook que se identifican como solteras"". 200 millones de personas que, por el perfil de usuario al que se va quedando reducido la red social, nos hacen imaginar una aplicación de ligues para tíos abuelos y vecinas de toda la vida mayores de 50. Y eso no es malo, no se trata de gerontofobia. Pero, joder, es cuanto menos curioso. </p>",5,,Contingencia
GUÍA DE COCINA. Recetas de The Legend of Zelda: Breath of the wild,"<p> Cocinar comida en The Legend of Zelda: Breath of the Wild es muy importante, ya que es la manera más efectiva de recuperar la salud y conseguir estados beneficiosos, como mayor velocidad, resistencia o sigilo, o resistir al frío y al calor. Además de comida, también podemos cocinar elixires.Para cocinar debes arrojar un material a una cacerola que esté en el fuego, podrás utilizar hasta un máximo de 5 ingredientes. Por lo general, el proceso duplica la cantidad de salud recuperada por cada ingrediente, Cada plato ocupa un espacio en el inventario, y puedes llevar hasta 60 platos o elixires a la vez.

Cada plato preparado puede tener además un efecto añadido, en función del tipo de ingrediente, si utilizamos varios ingredientes con efectos diferentes se cancelarán entre ellos a la hora de cocinar los materiales. Sin embargo si utilizamos varios ingredientes con el mismo efecto añadido se acumularán para producir beneficios ampliados. </p>

<h4> Efectos especiales de los ingredientes: </h4>
<ul>
<li>Vivaz: Rellena toda la vida y amplía con corazones amarillos temporales </li>
<li>Vigorizante/vigoroso: aumenta la resistencia (círculo verde) </li>
<li>Tonificante/brioso: aporta resistencia extra (círculo amarillo)</li>
<li>Ignífugo: aumenta la protección al fuego</li>
<li>Gélido: aumenta la protección al calor</li>
<li>Picante: aumenta la protección al frío</li>
<li>Electrizante: aumenta la protección a la electricidad y los ataques de shock </li>
<li>Raudo: aumento de la velocidad </li>
<li>Sigiloso: incremento del sigilo </li>
<li>Recio: incremento del ataque </li>
<li>Protector: mayor defensa </li>
","<p> Los ingredientes que puedes usar, se ordenan por categorías, en función del efecto añadido que proporcionan al plato resultante, y vienen representadas en nombre de los mismos. Si por ejemplo un material que vamos a utilizar para el plato, tiene en el nombre ""raudo"", obtendremos una receta que aumenta la velocidad. Para más información visita <a href=""https://vandal.elespanol.com/guias/guia-zelda-breath-of-the-wild/comida> este link </a>  </p>",3,,Videojuegos
"La extraña historia de la muerte de Avril Lavigne, suplantada por una doble","Da igual la edad, seguro que en algún momento te has venido arriba con canciones de la época rebelde y rockera de Avril Lavigne (32 años), aunque de esa punk ya no queda nada. Con el paso del tiempo se han ido degradando los oscuros colores de su vestimenta hasta tornarse en un rosita palo de ajustados tops. Los pantalones negros y skater han sido sustituidos por faldas de tubo. Y las Converse, por altos tacones. La mítica Avril Lavigne ha desaparecido. Hace tiempo que se fue, o por lo menos eso apunta una conspiradora y extraña teoría que circula por la red y que asegura que Lavigne hace tiempo que está muerta. Lavigne se alejó para recuperarse de esa picadura de garrapata que puede causar hasta la muerte. Esa es la versión oficial. Y la que tiene sentido. Pero el 15 aniversario de Complicated ha vuelto cargado de teorías que afirman que la cantante murió y fue sustituida por una doble en 2003, en mitad de la cresta de su éxito. La chica rebelde, la 'anti-Britney', como muchas fans le llamaban, reinaba en el panorama musical. Tras el tremendo éxito del 2002, Avril llevó al mercado Under my skin, un álbum más light con el que la cantante comienza una mutación de la que no nos daremos cuenta hasta The best damn thing. En 2007 Avril reaparece más rubia de lo habitual y con mechas rosas a juego con su también más recatado atuendo. ","A la cantante de Ska8er Boy jamás le hubiésemos visto con tacones de infarto o faldas de vértigo, pero a Melissa, sí. La supuesta doble se atreve con ajustados vestidos en tonos rosas que culminan con la identificación de esta como 'diva', algo que no hubiese (o sí) permitido la 'Avril real', según el sitio brasileño. Marcas de nacimiento nuevas -y otras desaparecidas-, cambio notable en la voz, tatuajes desaparecidos, caligrafía distinta (todo comprobado por expertos, según ellas) atestiguan la macabra historia del 'cambiazo'. Tanto, que la propia Avril tiene que soportarlo en cada foto que sube a sus redes sociales. ""No eres Avril, ella murió. ¡Di la verdad!, eres Melissa"", le increpa una fan mientras la cantante se muestra comiendo una chocolatina. ""Oh, hey Melissa"", le apunta otra. </p>",2,,Teorías Falopa
Ninguna serie nos dará tantas referencias como Los Simpson y Friends,"<p> Nunca he visto Friends. Jamás. Ni un trozo. No sé quién es Chandler y me enorgullezco tanto de ello como de otras cosas que podría afrontar con vergüenza pero a las que convierto medio en un logro personal medio en un poco de autoparodia: no haberme comido nunca un mejillón, no haber hecho nunca una paja con la mano o no haber visto ninguna de las películas de El Señor de los Anillos.

Tampoco he visto demasiados capítulos de Los Simpson. En el colegio me quedaba al comedor, así que no estaba en casa a la hora a la que lo emitían. En el instituto tenía que esperar a que mis padres salieran del trabajo para que me llevaran a casa, así que tampoco los pillaba ya en la tele cuando llegaba.

Al contrario de lo que me pasa con Chandler, sí que sé quién es Bart, pero cuando alguien establece un paralelismo entre la vida real y Springfield o menciona a algún personaje secundario, normalmente no tengo ni idea de a qué se refiere. Y, joder, pasa a menudo.
","Mucha gente dice muchas veces eso de ""Mira, esto es como cuando en Los Simpson..."" o ""Mira, esto es como cuando en Friends..."". Entonces, los que como yo no hemos visto alguna o ninguna de las dos series, nos vemos condenados a preguntar a qué se refieren, y por consiguiente a exponernos a que aquello pierda la gracia y a tener que explicar que no hemos visto ni Los Simpson ni Friends.

A eso o a mirar en el móvil los correos del buzón spam o a borrar fotos para liberar espacio mientras el resto de miembros de la conversación hacen mímica imitando la escena en cuestión o encadenan un gag de la serie con otro.

Para, al menos, encontrarle un por qué a esta realidad, contacto con dos humoristas, Esteban Navarro y Xavier Daura, de Venga Monjas, y con dos guionistas de series, Jorge López del Pino y Mercè Sarrias, y les pregunto qué demonios pasa con estas dos series. Por qué son tan habituales los paralelismos entre escenas de ambas y la vida real, por qué son una fuente infinita de referencias casi universales.</p> ",2,,Series y Cine
"Cómo es YouTube Music, la nueva apuesta de transmisión de música por Internet de Google","<p> En una nueva apuesta por impulsar un servicio de streaming de música, YouTube presentó YouTube Music y YouTube Premium, dos propuestas de Google que buscan posicionarse como los competidores directos de plataformas como Spotify y Apple Music.

Estas dos propuestas reemplazarán a YouTube Red, la versión paga del servicio de streaming de video sin publicidad lanzado en 2015, que costaba 10 dólares. Para esta nueva oferta, YouTube Premium será el reemplazo natural, con contenido exclusivo ( YouTube Originals, donde se destaca el reciente estreno de Cobra Kai), videos sin avisos y reproducción de contenidos en segundo plano desde el smartphone, pero a 12 dólares. Disponible en una aplicación independiente, YouTube Music se presenta como el servicio de streaming de música de YouTube, sin publicidad y disponible tanto en la aplicación móvil como en la versión de escritorio con listas de temas, canciones oficiales, canales de radio y videos musicales.

Tanto en YouTube Premium como en YouTube Music Premium está la posibilidad de reproducir contenidos de modo offline. Ambos servicios ya se encuentran disponibles desde el 22 de mayo en Estados Unidos, Australia, Nueva Zelanda, México y Corea del Sur, y se extenderá al resto de los mercados de forma paulatina.
","Respecto a la superposición con YouTube Red y Play Music con otras propuestas de Google, los abonados mantendrán las características de sus respectivos planes sin modificaciones. De forma puntual, los usuarios de Google Play Music podrán acceder a los servicios de YouTube Music Premium cuando esté disponible en sus mercados.

Google dijo que por el momento no hay detalles sobre la fecha de lanzamiento y disponibilidad de YouTube Music y YouTube Premium en Chile. </p>",1,,Música
La crisis espiritual que nos llevó a usar apps de meditación para no enloquecer. ,"<p> Todo partió cuando mi cuerpo jamás acostumbrado a los ataques de pánico y a sucumbir ante la presión de mi cerebro simplemente lo hizo.

Mi primer ataque de pánico fue a los 24 años, después de pasar por un pregrado, diplomado e incluso un magíster, cuando estaba haciendo mi primera práctica profesional. El periodismo formal puede ser muy absorbente e incluso mata tus relaciones personales, porque simplemente no tienes tiempo para nada, pero no era solamente eso lo que estaba pasando en mi vida. Mi hogar se estaba desmoronando, porque mis amigos encontraron otros lugares donde vivir o porque quienes creí que iban a ser mis amigos para toda la vida dejaron de serlo. El sentimiento de pérdida me hizo sentir el primer ataque de pánico (que se siente como un infarto) camino al trabajo y no los dejé de sentir por mucho tiempo más.

Desesperada, recurrí a lo primero que se me ocurrió hacer: escuchar meditación guiada en YouTube. Un conocido me lo recomendó y tenía dos opciones:

1) Seguir estando en el mismo estado donde creía que me iba a morir todo el tiempo

2) Probar algo que no me iba a dañar. Sonará snob, pero la realidad es que si manejas más de un idioma intenta escuchar meditación guiada en el que no es tu idioma nativo, porque por lo menos a mi me desagrada escuchar a alguien hablando en español diciéndome lo que tengo que hacer.

Aparte de la elección personal del idioma, las primeras veces que lo intenté con videos de YouTube no duré ni dos minutos sin abrir los ojos. Algunas veces por paranoia (quizá el video que apreté era un scream) o por incomodidad, no podía quedarme quieta en mi lugar para seguir una simples instrucciones antes de dormir. Pasaron los días y ya era más fácil, pero de un momento a otro lo dejé.

De eso pasaron varios años, y otra oleada de malas noticias volvieron a mi vida. Esta vez no tenía herramientas como las que cultivé en ese momento y solita me vi en la necesidad de encontrar alguna aplicación que me hiciera la vida más fácil. Entre medio pasé por una temporada en Yoga, volcarme a la astrología (soy un cliché) y algo de respiración consciente tenía en mi disco duro, ahora solo faltaba encontrar la app perfecta.

Una opción es Headspace, que a pesar de que no tiene muchas opciones gratuitas, sólo lo básico, tiene un diseño hermoso y minimalista, que además te manda frases motivacionales varias veces al día en formato notificación (quizá sea la única razón por la que no la he borrado). La que uso yo hoy se llama Insight Timer, que ofrece un catálogo de miles de meditaciones guiadas gratuitas, que van de 5 minutos a 1 hora por meditación. Otra es Calm, elegida como al app del año 2017 según Apple y que tiene excelentes reviews por medios como The New York Times o Mashable, que al igual que Headspace, te ofrece meditaciones por temáticas que puedes hacer en varios días, para así incorporarlos a tu rutina. Calm se hizo tan famoso que hoy vale 250 millones de dólares y Acton Smith, su creador, tomó la oportunidad que existe hoy en la crisis de las creencias políticas y redes sociales para explotar el concepto de mindfulness.

“Hoy todo es tan binario, como por ejemplo, la derecha versus la izquierda. Todos están en sus trincheras, pero el mundo tiene mucho más matices y es complejo, está constituido por escalas de grises. El mindfulness se trata de respetar las opiniones de otros. Puedes no estar de acuerdo, pero puedes hacerlo de manera considerada en vez de gritarle a la otra persona”, dijo Smith a Standard.","Según la Universidad de Berkeley, mindfulness significa tener conciencia de nuestros pensamientos, sentimientos, sensaciones corporales y el medio donde nos movemos momento a momento desde un punto de vista amable. También está relacionado con la aceptación, es decir, el no juzgar nuestros pensamientos y sentimientos; que no existe un “bien” o un “mal”. Es básicamente poner en práctica el carpe diem que tanto nos gusta satirizar, pero basado en la meditación budista. La primera vez que occidente supo de este tipo de prácticas se dio cuando el profesor Jon Kabet-Zinn de la Escuela de Medicina de la Universidad de Massachusetts creó un programa llamado Programa de Reducción del Stress Basado en el Mindfulness (Mindfulness-Based Stress Reduction o MBSR), en 1979. Este modelo ha sido adaptado a todo tipo de terapias, desde la psicológicas y las físicas, y fue la puerta de entrada para que otras disciplinas orientales se quedaran con tu plata. </p>",3,,Reflexión
Beyoncé es Illuminati: la alocada teoría que lo sostiene,"<p> De acuerdo con los conspiracionistas, los Illuminati surgieron de los Masones en Europa en el año 1776. Su objetivo original era mantener un grupo exclusivo de gente de la élite política e intelectual. Hoy, se dice que eso ha cambiado mucho, y que forman parte de este grupo todo tipo de personas poderosas y que entre todos controlan el mundo.

Hoy en día la cosa ha degenerado bastante y, a parte de los libros de Dan Brown, han surgido todo tipo de teorías sobre esta organización. Y a cada cual más alocada. No son pocos los que sostienen que Beyoncé y Jay-Z gobiernan la exclusiva secta de los Illuminati y por tanto, controlan la organización que supuestamente domina el mundo.

Desde que surgió esta teoría, cada gesto que realiza Beyoncé, cada imagen que cuelga en las redes sociales, cada vídeoclip que saca supone para los conspiranoicos una prueba más de su pertenencia al mundo Illuminati.

¿Cómo ha llegado la 'Queen Bey' a reina Illuminati y qué información tenemos de que forma parte de la organización?","<ol> <li> Jay-Z la introdujo en la organización: Supuestamente, la artista entró a formar parte de la secta a causa de su marido, Jay-Z, que la introdujo en la organización. Aquellos que defienden la teoría ""Bey-lluminati"" están convencidos que el éxito del rapero se debe a su alta posición y sus conexiones en el círculo sectario.

También afirman que el gesto con el que suele hacer referencia a su sello 'Roc Nation', que consiste en representar un triángulo con las manos, es un claro mensaje Illuminati, un gesto que han realizado tanto él como su famosa mujer. Para quien no lo sepa, el triángulo es el símbolo más comúnmente asociado a los Illuminati.</li>  <li> El nombre de su hija: El 7 de enero de 2012 nació la primera hija de la pareja, a la que decidieron llamar Blue Ivy. Evidentemente, aquellos que tratan a toda costa de demostrar la relación de la pareja con los antiguos masones vieron en ese nombre una clara señal. 

Según lo que especulan, Blue Ivy significa en realidad: Born living under evil, Illuminati's very youngest.</li> <li> La actuación de la Superbowl 2013: En la Super Bowl del año 2013, Beyoncé actuó durante el show de la media parte. En una retransmisión que tenía una audiencia de 100 millones de espectadores, Beyoncé hizo el ya comentado símbolo de 'Roc Nation'/Illuminati.

Poco después, una vez que ya estaba retomado el partido, las luces se apagaron en la mitad del estadio. ¿Casualidad? Probablemente. </li>
<li>Lo desmiente en su single 'Formation': Al final, harta de dejar pasar el tema y de la gente que ve Illuminatis hasta en la sopa, Beyoncé decidió hacer una referencia a este tema en su canción 'Formation'.

En ella podemos escuchar: ""Y'all haters corny with that Illuminati mess"", que viene a significar que está hasta arriba de los haters pesados con el tema Illuminati y que hacen el ridículo. </li> <li> No es más que una sustituta: A parte de todo lo que hemos comentado anteriormente, hay personas que creen que el hecho de que Beyoncé empezase a triunfar en la música en 2001 tiene que ver con que ese año muriese la artista Aaliyah.

Los conspiracionistas más radicales exponen la teoría de que quien tenían planeado que reinase en la organización debía ser ella, pero que al negarse a casarse con Jay-Z, la asesinaron y le buscaron una sustituta, Knowles.

Bey y Jay no son los únicos acusados de pertenecer a esta organización, hay una larga lista en la que se incluyen Whitney Houston, Justin Bieber, Bono, Eminem, Nicki Minaj, Lil Wayne y Dr. Dre. </li> </ol>",7,,Teorías Falopa
,,,,,